NUMBER	P2/TC1	BIN	HEX
0	6980368	11010101000001100010000	6A8310
1	5517055	10101000010111011111111	542EFF
2	1336159	101000110001101011111	14635F
3	6750185	11001101111111111101001	66FFE9
4	1771937	110110000100110100001	1B09A1
5	360952	1011000000111111000	581F8
6	5672561	10101101000111001110001	568E71
7	916583	11011111110001100111	DFC67
8	2700138	1010010011001101101010	29336A
9	9645053	100100110010101111111101	932BFD
10	1181110	100100000010110110110	1205B6
11	1492185	101101100010011011001	16C4D9
12	4018595	1111010101000110100011	3D51A3
13	7654888	11101001100110111101000	74CDE8
14	7062453	11010111100001110110101	6BC3B5
15	2478010	1001011100111110111010	25CFBA
16	6134768	10111011001101111110000	5D9BF0
17	8420417	100000000111110001000001	807C41
18	2917489	1011001000010001110001	2C8471
19	3340773	1100101111100111100101	32F9E5
20	1115956	100010000011100110100	110734
21	9172192	100010111111010011100000	8BF4E0
22	6271996	10111111011001111111100	5FB3FC
23	8686939	100001001000110101011011	848D5B
24	50986	1100011100101010	C72A
25	9376410	100011110001001010011010	8F129A
26	5962327	10110101111101001010111	5AFA57
27	7686891	11101010100101011101011	754AEB
28	6615183	11001001111000010001111	64F08F
29	1864844	111000111010010001100	1C748C
30	3329962	1100101100111110101010	32CFAA
31	3942794	1111000010100110001010	3C298A
32	2614836	1001111110011000110100	27E634
33	7406772	11100010000010010110100	7104B4
34	2384190	1001000110000100111110	24613E
35	398347	1100001010000001011	6140B
36	8698503	100001001011101010000111	84BA87
37	9551696	100100011011111101010000	91BF50
38	1019556	11111000111010100100	F8EA4
39	1677430	110011001100001110110	199876
40	3479629	1101010001100001001101	35184D
41	9309008	100011100000101101010000	8E0B50
42	5266170	10100000101101011111010	505AFA
43	4094340	1111100111100110000100	3E7984
44	1754055	110101100001111000111	1AC3C7
45	5861132	10110010110111100001100	596F0C
46	4471329	10001000011101000100001	443A21
47	8826052	100001101010110011000100	86ACC4
48	7469325	11100011111100100001101	71F90D
49	1973172	111100001101110110100	1E1BB4
50	53145	1100111110011001	CF99
51	3897508	1110110111100010100100	3B78A4
52	7773386	11101101001110011001010	769CCA
53	6089829	10111001110110001100101	5CEC65
54	4223424	10000000111000111000000	4071C0
55	9761752	100101001111001111011000	94F3D8
56	7930799	11110010000001110101111	7903AF
57	3597495	1101101110010010110111	36E4B7
58	9302948	100011011111001110100100	8DF3A4
59	2288712	1000101110110001001000	22EC48
60	197187	110000001001000011	30243
61	5266939	10100000101110111111011	505DFB
62	221545	110110000101101001	36169
63	7957027	11110010110101000100011	796A23
64	3195361	1100001100000111100001	30C1E1
65	7106269	11011000110111011011101	6C6EDD
66	9633312	100100101111111000100000	92FE20
67	9713704	100101000011100000101000	943828
68	91925	10110011100010101	16715
69	4418686	10000110110110001111110	436C7E
70	9682250	100100111011110101001010	93BD4A
71	2583824	1001110110110100010000	276D10
72	4979126	10010111111100110110110	4BF9B6
73	6280954	10111111101011011111010	5FD6FA
74	1228610	100101011111101000010	12BF42
75	705518	10101100001111101110	AC3EE
76	1017653	11111000011100110101	F8735
77	500098	1111010000110000010	7A182
78	7210727	11011100000011011100111	6E06E7
79	4250898	10000001101110100010010	40DD12
80	4055028	1111011101111111110100	3DDFF4
81	2754240	1010100000011011000000	2A06C0
82	452999	1101110100110000111	6E987
83	6831458	11010000011110101100010	683D62
84	207636	110010101100010100	32B14
85	7280635	11011110001011111111011	6F17FB
86	3308937	1100100111110110001001	327D89
87	4303570	10000011010101011010010	41AAD2
88	8375055	11111111100101100001111	7FCB0F
89	1457960	101100011111100101000	163F28
90	5197625	10011110100111100111001	4F4F39
91	3144371	1011111111101010110011	2FFAB3
92	6674138	11001011101011011011010	65D6DA
93	2692106	1010010001010000001010	29140A
94	2276769	1000101011110110100001	22BDA1
95	1940971	111011001110111101011	1D9DEB
96	3288264	1100100010110011001000	322CC8
97	4819803	10010011000101101011011	498B5B
98	9431005	100011111110011111011101	8FE7DD
99	3992019	1111001110100111010011	3CE9D3
100	8184782	11111001110001111001110	7CE3CE
101	2847975	1010110111010011100111	2B74E7
102	7891025	11110000110100001010001	786851
103	900082	11011011101111110010	DBBF2
104	1831532	110111111001001101100	1BF26C
105	8428253	100000001001101011011101	809ADD
106	2905752	1011000101011010011000	2C5698
107	9763121	100101001111100100110001	94F931
108	257890	111110111101100010	3EF62
109	4699761	10001111011011001110001	47B671
110	359541	1010111110001110101	57C75
111	3446150	1101001001010110000110	349586
112	4246818	10000001100110100100010	40CD22
113	1848840	111000011011000001000	1C3608
114	938480	11100101000111110000	E51F0
115	227465	110111100010001001	37889
116	3923488	1110111101111000100000	3BDE20
117	8915697	100010000000101011110001	880AF1
118	4309094	10000011100000001100110	41C066
119	3891251	1110110110000000110011	3B6033
120	8627956	100000111010011011110100	83A6F4
121	5884613	10110011100101011000101	59CAC5
122	1659318	110010101000110110110	1951B6
123	1834855	110111111111101100111	1BFF67
124	3386751	1100111010110101111111	33AD7F
125	3000166	1011011100011101100110	2DC766
126	9135626	100010110110011000001010	8B660A
127	4869260	10010100100110010001100	4A4C8C
128	76550	10010101100000110	12B06
129	432271	1101001100010001111	6988F
130	251028	111101010010010100	3D494
131	7016218	11010110000111100011010	6B0F1A
132	6896099	11010010011100111100011	6939E3
133	8386350	11111111111011100101110	7FF72E
134	8637147	100000111100101011011011	83CADB
135	936705	11100100101100000001	E4B01
136	6602175	11001001011110110111111	64BDBF
